alpha,delta,RD_CCJS
0.55,0.01,0.663672
0.56,0.01,0.670686
0.57,0.01,0.677706
0.58,0.01,0.684736
0.59,0.01,0.691778
0.6,0.01,0.698835
0.61,0.01,0.705909
0.62,0.01,0.713004
0.63,0.01,0.720122
0.64,0.01,0.727266
0.65,0.01,0.73444
0.66,0.01,0.741647
0.67,0.01,0.748891
0.68,0.01,0.756175
0.69,0.01,0.763502
0.7,0.01,0.770879
0.71,0.01,0.778308
0.72,0.01,0.785795
0.73,0.01,0.793345
0.74,0.01,0.800963
0.75,0.01,0.808656
0.76,0.01,0.816431
0.77,0.01,0.824294
0.78,0.01,0.832254
0.79,0.01,0.84032
0.8,0.01,0.848502
0.81,0.01,0.85681
0.82,0.01,0.865257
0.83,0.01,0.873859
0.84,0.01,0.88263
0.85,0.01,0.89159
0.86,0.01,0.900762
0.87,0.01,0.910171
0.88,0.01,0.919849
0.89,0.01,0.929836
0.9,0.01,0.940184
0.91,0.01,0.950963
0.92,0.01,0.962284
0.93,0.01,0.974338
0.94,0.01,0.987506
0.95,0.01,1.002623
0.96,0.01,1.021598
0.97,0.01,1.048649
0.98,0.01,1.091498
0.99,0.01,1.157666
1.0,0.01,1.251655
