alpha,epsilon,RD_CCJS
0.99,0.372759,1.091797
1.0,0.372759,1.137576
0.0,1.0,0.006373
0.01,1.0,0.05772
0.02,1.0,0.084767
0.03,1.0,0.105856
0.04,1.0,0.123914
0.05,1.0,0.140067
0.06,1.0,0.154889
0.07,1.0,0.168719
0.08,1.0,0.181777
0.09,1.0,0.194215
0.1,1.0,0.206143
0.11,1.0,0.217643
0.12,1.0,0.228778
0.13,1.0,0.239599
0.14,1.0,0.250147
0.15,1.0,0.260454
0.16,1.0,0.270549
0.17,1.0,0.280454
0.18,1.0,0.29019
0.19,1.0,0.299773
0.2,1.0,0.309218
0.21,1.0,0.318538
0.22,1.0,0.327744
0.23,1.0,0.336847
0.24,1.0,0.345854
0.25,1.0,0.354775
0.26,1.0,0.363615
0.27,1.0,0.372382
0.28,1.0,0.381081
0.29,1.0,0.389718
0.3,1.0,0.398298
0.31,1.0,0.406824
0.32,1.0,0.415301
0.33,1.0,0.423734
0.34,1.0,0.432125
0.35,1.0,0.440477
0.36,1.0,0.448794
0.37,1.0,0.457079
0.38,1.0,0.465335
0.39,1.0,0.473563
0.4,1.0,0.481767
0.41,1.0,0.489948
0.42,1.0,0.498109
0.43,1.0,0.506253
0.44,1.0,0.51438
0.45,1.0,0.522493
0.46,1.0,0.530595
0.47,1.0,0.538686
0.48,1.0,0.546768
0.49,1.0,0.554844
0.5,1.0,0.562915
0.51,1.0,0.570983
0.52,1.0,0.57905
0.53,1.0,0.587117
0.54,1.0,0.595185
0.55,1.0,0.603257
0.56,1.0,0.611335
0.57,1.0,0.61942
0.58,1.0,0.627513
0.59,1.0,0.635618
0.6,1.0,0.643735
0.61,1.0,0.651866
0.62,1.0,0.660014
0.63,1.0,0.66818
0.64,1.0,0.676367
0.65,1.0,0.684577
0.66,1.0,0.692812
0.67,1.0,0.701076
0.68,1.0,0.709369
0.69,1.0,0.717696
0.7,1.0,0.726059
0.71,1.0,0.734462
0.72,1.0,0.742907
0.73,1.0,0.7514
0.74,1.0,0.759943
0.75,1.0,0.768541
0.76,1.0,0.7772
0.77,1.0,0.785924
0.78,1.0,0.79472
0.79,1.0,0.803594
0.8,1.0,0.812553
0.81,1.0,0.821607
0.82,1.0,0.830764
0.83,1.0,0.840035
0.84,1.0,0.849433
0.85,1.0,0.858972
0.86,1.0,0.868669
0.87,1.0,0.878545
0.88,1.0,0.888623
0.89,1.0,0.898933
0.9,1.0,0.909511
0.91,1.0,0.920404
0.92,1.0,0.931669
0.93,1.0,0.943386
0.94,1.0,0.955665
0.95,1.0,0.968661
0.96,1.0,0.982617
0.97,1.0,0.997943
0.98,1.0,1.015442
0.99,1.0,1.037194
1.0,1.0,1.085284
